FacilityName,StreetAddress
Sandoval Recycling,954 W MAIN ST
Rios Recycling,452 NAPLES ST
Contreras Recycling Center,17477 W WHITESBRIDGE AVE
Contreras Recycling,8676 S 8TH ST
S V Recycling,8110 Junipero St
Rios Recycling,1639 N ST
Ocean's Recycling LLC,6019 STOCKTON BLVD
Clarissa's Recycling,615 PARADISE RD
Joyee's Recycling,1107 N LAKE ST
Jorge Pereyra Recycling,1825 Academy Ave
Recycling Zone Inc,1973 BROADWAY ST
A & S Metals,1277 N DAVIS RD
Lemire's Recycling,120 S ORCHARD AVE
M & R Recycling,659 HIGHWAY 12
Ranch Town Recycling Center,775 Lincoln Ave
Story Road Recycling LLC,1303 Story Rd
Sandoval Recycling,2000 N CENTRAL AVENUE
Petes Recycling,24476 Avenue 14
Santana Recycling,1725 CAVALLO RD
Grey Bears,9835 NEWELL CREEK RD
LTS Recycling,21727 W MANNING AVE
Gaytan Recycling,6800 FRUITRIDGE RD
KBJ Recycling,325 L St
AAA Recycling,875 ATWATER BLVD
AAA Recycling,16385 W SCHENDEL AVE
AAA Recycling,242 N MAIN ST
Quiroz Recycling,2507 Nebraska Ave
Recycling of Reedley,640 E Dinuba Ave
Hollister Recycling,1771 San Felipe Rd
TopRecycling LLC,4900 ELK GROVE BLVD
Ashley Recycling,24117 Avenue 9
Ocean's Recycling LLC,7421 W STOCKTON BLVD
Santana Recycling,8363 FOLSOM BLVD
Ada's Recycling,1949 FREMONT BLVD
Clarissa's Recycling,3800 MCHENRY AVE
Our Planet Recycling SF,445V BAYSHORE BLVD
Sanchez Recycle LLC,850 I ST
Dreams Recycling LLC,15057 W WHITESBRIDGE AVE
J&D Recycling,3401 MIDDLEFIELD RD
J&D Recycling,99 SOUTHGATE AVE
J&D Recycling,60 CABRILLO HWY NORTH
JL Recycling Co,3270 NORTHGATE BLVD
Jose Recycling,3801 YOSEMITE BLVD
Eva's Recycling,2815 W Olive Ave
Recycling Zone Inc,3300 PACHECO BLVD
Olyns,555 E CALAVERAS BLVD
M Lopez Recycling Inc,4148 MONTEREY RD
DMR Recycling,1461 N St
Contreras Recycling Center #3,850 NAPLES ST
Our Planet Recycling SF LLC,250 13TH ST
Our Planet Recycling SF LLC,265 WINSTON DR
Gaytan Recycling,5885 STOCKTON BLVD
Recycle Planet Inc,6935 Power Inn Rd
Valley Springs Recycling,18170 STATE HIGHWAY 49
Dinuba Mini Mart Recycling,10014 S ALTA AVE
Gaytan Recycling,8038 GREENBACK LN
Jesus Facility #2,12511 W G ST
JV Recycling,3021 SUNRISE BLVD
IB Recycling,2267 Northgate Blvd
JADO Recycling,22330 HATHAWAY AVE
Sunset Recycling Center,345 WILLIAMS AVE
Jado Recycling,39200 PASEO PADRE PKWY
Dayanara's Recycling,1740 E 21st St
Santana Recycling,7007 S LAND PARK DR
Tollhouse,1427 TOLLHOUSE RD
Dreams Recycling LLC,15401 W California Ave
Olyns,150 E EL CAMINO REAL
Olyns,20620 HOMESTEAD RD
JADO Recycling,4650 MERIDIAN AVE
Valley Wide Recycling,37357 AVENUE 12
Olyns,3970 RIVERMARK PLZ
Green World Recycling,3460 OAKDALE RD
Our Planet Recycling SF LLC,445V Bayshore Blvd
Recycle Transfer Reuse Recyco Inc,4585 E Olive Ave
JL Recycling Co,1000 DOUGLAS BLVD
JADO Recycling,46 FIFTH AVE
Jado Recycling,523 S SHORE CENTER W
Jiffy Lube,3927 McHenry Ave
Cal Sierra Recycling Center,14959 Camage Ave
Berkeley Oil Recycling Depot,1201 2nd St
AutoZone #5319,4266 E Clinton
AutoZone #5316,4210 E Belmont
Solano Garbage Company,2901 Industrial Court
Kniesel's Automotive,7649-A Sunrise Blvd
Recology Vallejo,2021 Broadway
Steve Hopkins Honda,2499 Auto Mall Parkway
Jiffy Lube #0598,1130 N Main St
Davis Waste Removal Recycling Ctr,2727 2nd St
Quality Tune-Up #14,1175 Fell St
Dan's Auto Center,49329 Golden Oak Loop
Mariposa Landfill & Recycling Center,5593 Hwy 49 N
Firestone #012580 Hayward,24019 Mission Blvd
Firestone #21199 Blackstone,6512 N Blackstone Ave
Firestone #024716 Clovis,790 Clovis Ave
Firestone #022985 Shaw Ave.,4330 W Shaw Ave
Firestone #029777 Fairfield,1340 Travis Boulevard
Firestone #012645 Mission,1501 Mission Street
Firestone #029815 Southland,715 La Playa Dr
Firestone #029947 Salinas,150 Northridge Shopping Ctr
Firestone #012785 Millbrae,1201 El Camino Real
Firestone #015458 Newark,5795 Mowry Ave
Firestone #015504 Antioch,3214 Delta Fair Blvd
Firestone #013463 Coddingtown,850 Coddingtown Ctr
Firestone #023175 Vacaville,1200 E Monte Vista Avenue
Firestone 007110 Watsonville,1099 S Green Valley Road
Firestone #013056 Fruitridge,5781 Stockton Blvd
Firestone #013064 Marconi,2547 Marconi Ave
Firestone #017663 Roseville,8051 Washington Boulevard
Firestone #015199 Rancho Cordova,10407 Folsom Blvd
Firestone Store #021156 North Highlands,4637 Watt Avenue
Firestone #015911 Milpitas,1379 S Park Victoria Drive
Firestone #012858 Redwood City,1458 El Camino Real
Firestone #012823 Fremont,40861 Fremont Blvd
Firestone Store #017655 Greenback,7895 Greenback Lane
SpeeDee Oil Change & Tune-Up,6604 Folsom-Auburn Rd
Firestone #012882 Santa Clara,3161 El Camino Real
Firestone #029904 Richmond,1001 Hilltop Mall
Firestone #029734 Concord,715 Contra Costa Blvd
Firestone #023574 Sunnyvale,922 W El Camino Real
Firestone #23213 Broadway,2850 Broadway
Montezuma Fire Protection District Sta #18-1,2405 South B St
Auto Express,2842 Soquel Ave
A&B TRUCK REPAIR A&B Truck Parts,959 S 9th St
M & R Automotive,1281 El Camino Real
SpeeDee Oil Change & Tune-Up,471 San Carlos Way
O’Reilly Auto Parts #3445,1800 Park Boulevard
O’Reilly Auto Parts #3446,401 Rodriquez St
O’Reilly Auto Parts #3552,812 Francisco Boulevard West
O’Reilly Auto Parts #3526,3855 Geary Boulevard
O’Reilly Auto Parts #3470,3580 Sonoma Blvd
O’Reilly Auto Parts #3481,1905 Tully Rd
O’Reilly Auto Parts #3482,800 Jackson Street
O’Reilly Auto Parts #3502,243 23rd Street
O’Reilly Auto  Parts #3473,4240 International Blvd.
O’Reilly Auto Parts #3447,3489 McKee Rd
O’Reilly Auto Parts #3468,2640 S. El Camino Real
O’Reilly Auto Parts #3471,15604 Hesperian Boulevard
O’Reilly Auto Parts #3477,420 W Lodi Avenue
O’Reilly Auto Parts #3464,35382 Newark Blvd
O’Reilly Auto Parts #3474,2411 El Camino Real
O’Reilly Auto Parts #3485,2024 A Street
O’Reilly Auto Parts #3497,1194 West Tennyson Road
O’Reilly Auto Parts #3476,5 Skyline Plaza
O’Reilly Auto Parts #3503,1720 Fremont Blvd
O’Reilly Auto Parts #3465,6150 Watt Ave
O’Reilly Auto Parts #3475,7100 Regional Street
O’Reilly Auto Parts #2871,181 Depot St
O’Reilly Auto Parts #2571,1601 Decoto Road
O’Reilly Auto Parts #2910,4400 Broadway
O’Reilly Auto Parts #2586,724 Gravenstein Hwy N
O’Reilly Auto Parts #2567,1440 E Harding Way
O’Reilly Auto Parts #2568,7349 Greenback Ln
O’Reilly Auto Parts #2594,5908 Stockton Blvd
O’Reilly Auto Parts #2600,6405 N Blackstone Avenue
O’Reilly Auto Parts #2604,411 May Ave
O’Reilly Auto Parts #2602,4200 Macarthur Boulevard
O’Reilly Auto Parts #2769,6404 Pacific Avenue
O’Reilly Auto Parts #2664,1177 E Manning Avenue
O’Reilly Auto Parts #2554,1219 S Main St
O’Reilly Auto Parts #2922,3544 McHenry Ave
O’Reilly Auto Parts #2584,709 Jefferson Blvd
O’Reilly Auto Parts #2813,695 S Washington St
O’Reilly Auto Parts #2879,1803 N Texas St
O’Reilly Auto Parts #2575,590 Raleys Towne Ctr
O’Reilly Auto Parts #2876,1354 E Hatch Rd
O’Reilly Auto Parts #2580,245-B Mt Herman Rd
O’Reilly Auto Parts #2590,4423 Elkhorn Blvd
O’Reilly Auto Parts #2763,1475 A 41st Ave
O’Reilly Auto Parts #3461,106 Harding Blvd
O’Reilly Auto Parts #2878,2990 Castro Valley Blvd
O’Reilly Auto Parts #2562,608 Shaw Avenue
O’Reilly Auto Parts #2780,35680 Fremont Blvd
O’Reilly Auto Parts #2850,2396 East 14th Street
O’Reilly Auto Parts #2825,4969 E Kings Canyon Rd
O’Reilly Auto Parts #2566,2290 Jefferson St
O’Reilly Auto Parts #3561,10680 San Pablo Avenue
O’Reilly Auto Parts #2561,2560 Cottage Way
O’Reilly Auto Parts #2934,5945 Dougherty Rd
O’Reilly Auto Parts #2631,250 Reservation Rd
O’Reilly Auto Parts #2900,701 Bellevue Ave
O’Reilly Auto Parts #2880,1341 Country Club Dr
O’Reilly Auto Parts #2573,6101 Mack Rd
O’Reilly Auto Parts #2577,3970-F Missouri Flat Road
O’Reilly Auto Parts #2599,289 W Napa St
O’Reilly Auto Parts #3097,3499 Northgate Blvd
O’Reilly Auto Parts #3557,4158 N West Ave.
O’Reilly Auto Parts #2788,515 Healdsburg
O’Reilly Auto Parts #3501,515 E Yosemite Avenue
O’Reilly Auto Parts #3556,1323 2nd Street
O’Reilly Auto Parts #2593,3659 Bradshaw Rd
O’Reilly Auto Parts #2886,2654 Whitson Avenue
O’Reilly Auto Parts #2728,41085 Fremont Blvd
O’Reilly Auto Parts #2743,1059 El Camino Real
O’Reilly Auto Parts #2736,3323 Tracy Boulevard
O’Reilly Auto Parts #2744,1588 Railroad Avenue
Recology Hay Road,6426 Hay Rd
O’Reilly Auto Parts #2915,3031 N Cedar Avenue
O’Reilly Auto Parts #2703,510 West Olive Avenue
O’Reilly Auto Parts #2721,1190 East F Street
O’Reilly Auto Parts #2702,43A S Sanborn Rd
O’Reilly Auto Parts #2755,704 N Central
O’Reilly Auto Parts #3505,4323 N Blackstone
Twain Harte Shell,22890 Twain Harte Dr
R & R Auto Repair Shop,115 W Merced St.
O’Reilly Auto Parts #2774,643 Bethel Avenue
Clovis Drop Shop,"972 Barstow Ave, Unit E"
O’Reilly Auto Parts #2807,5417 Auburn Ave
O’Reilly Auto Parts #2800,1601 Lander Ave
10 Minute Lube N' Oil,437 N Golden State Blvd
9 Minute Oil & Lube Co,3839 El Camino Real
O’Reilly Auto Parts #2821,10117 Folsom Blvd
Jiffy Lube #1478,1648 E Hammer Lane
Jiffy Lube #1480,240 W Ashlan Ave
O’Reilly Auto Parts #3451,1910 Mendocino Ave
O’Reilly Auto Parts #2570,1543 Farmers Ln
Jiffy Lube #0723,3896 N. Blackstone Ave
Speed Lube Oil Change,14639 San Pablo Ave
Pep Boys #840,170 E El Camino Real
O’Reilly Auto Parts #2832,2421 Del Paso Blvd
Firestone #022845 Tully Road,1895 Tully Road
Pinole-Rodeo Auto Wreckers,700 Parker Avenue
Jiffy Lube #1479,146 N 6th Ave
Freeman Toyota,2875 Corby Ave
Big G's Automotive Center,1091 N Street
Pep Boys #723,2500 Arden Way
Pep Boys #624,716 Broadway St
Pep Boys #639,3655 N Blackstone
Pep Boys #711,4987 West Ln
Pep Boys #816,30085 Industrial Pkwy
Pep Boys #828,2730 Story Rd
Pep Boys #719,5135 Auburn Blvd
Pep Boys #634,1340 McHenry Ave
Pep Boys #649,1207 W Main St
Pep Boys #873,3780 Stevens Crk Blvd
Pep Boys #815,128 Plaza Dr
Pep Boys #714,5895 47th St
O’Reilly Auto Parts #2833,1442 Fitzgerald Drive
O’Reilly Auto Parts #2581,1200 El Camino Real
O’Reilly Auto Parts #2587,4300 Marconi
O’Reilly Auto Parts #2588,1317 Florin Rd
O’Reilly Auto Parts #2607,7800 Sunrise Blvd
O’Reilly Auto Parts #2641,1400 S Novato Blvd
O’Reilly Auto Parts #2765,430 Cherokee S Lane
O’Reilly Auto Parts #2768,16 W Court St
Pep Boys #712,10899 Folsom Blvd
Tracy Material Recovery & Transfer Facility,30703 S MacArthur Dr
Pep Boys #673,5615 E Kings Canyon Rd
The Tred Shed,50 Bliss Ave
Sonora Express Lube #1,14490 Mono Way
Pep Boys #710,845 E Charter Wy
Pep Boys #774,3534 Northgate Blvd
Pep Boys #777,4490 W Shaw Ave
Pep Boys #668,693 W Shaw Ave
Eagle Quick Lube,40179 Enterprise Dr #G
Pep Boys #862,4805 Redwood Dr
Benjamin Tire & Brake,250 Airport Blvd
Big O Tires,1115 Healdsburg Ave
Dave's Auto Repair,1911 Bodega Ave
Pep Boys #968,520 Contra Costa Blvd
Sonora Express Lube #2,6 Pesce Way
Pep Boys #847,14845 E 14th St
O’Reilly Auto Parts #2829,3232 Foothill Blvd
O’Reilly Auto Parts #2854,813 E El Camino Real
O’Reilly Auto Parts #2913,2027 El Camino Real
O’Reilly Auto Parts #2912,1626 Freedom Blvd
SpeeDee Oil Change & Tune-up,801 El Camino Real
Michael Cadillac,5737 N Blackstone
O’Reilly Auto Parts #2938,1623 N Carpenter Rd
O’Reilly Auto Parts #2917,3228 Hammer Lane
Michael Toyota,50 W Bullard Ave
O’Reilly Auto Parts #2901,40 W 16th St
O’Reilly Auto Parts #2991,989 N Main St
O’Reilly Auto Parts #2916,1707 Airline Hwy
Paradise Point Engine & Boat Repair,8090 Rio Blanco Rd
Ernie's Service Center,6281 Graham Hill Road
Jiffy Lube #1948,2026 Columbus Parkway
O’Reilly Auto Parts #2893,14420 San Pablo Avenue
O’Reilly Auto Parts #3006,6608 Fair Oaks Blvd
AutoZone #2858,1100 N Wilson Way
O’Reilly Auto Parts #3535,1272 El Camino Real
AutoZone #2874,211 N Gateway Dr
AutoZone #2833,1741 E El Monte Way
O’Reilly Auto Parts #3020,309 W. Dr Martin Luther King Jr. Blvd
AutoZone #5698,401 Paradise Rd
Pick-N-Pull/Rancho Cordova #1,3419 Sunrise Blvd
AutoZone #2862,1111 Academy Ave
Santa Nella Travel Center,12310 S Hwy 33
AutoZone #2876,820 E California Ave
AutoZone #2868,1901 Prescott Rd
AutoZone #2867,8135 Florin Rd
Pick-N-Pull/Windsor #4,10475 Old Redwood Hwy
AutoZone #5506,470 Bellevue Road
AutoZone #2815,2101 Whitson St
O’Reilly Auto Parts #3139,2500 San Bruno Avenue
O’Reilly Auto Parts #3533,1405 N. First Street
O’Reilly Auto Parts #3003,301 W. Olive Ave
AutoZone #2892,4674 E Kings Canyon Rd
Pick-N-Pull/Moss Landing #42,516 Dolan Road
Pick-N-Pull/Modesto #2,10860 Gold Center Dr. Suite 250
AutoZone #5916,429 Blue Ravine Rd
O’Reilly Auto Parts #3531,1170 Blossom Hill Rd
AutoZone #5230,10111 International Blvd
O’Reilly Auto Parts #3030,1191 Riley St
AutoZone #5321,3102 E Gettysburg Ave
AutoZone #5587,8129 Auburn Blvd
Pick-N-Pull/Merced #5,1150 E. Childs Avenue
AutoZone #5588,"1018 ""C"" St Ste 200"
AutoZone #5510,510 Canal St. #A
AutoZone #5585,6920 Sunrise Blvd
O’Reilly Auto Parts #2884,8158 Gerber Rd
AutoZone #5507,665 Pacheco Blvd
AutoZone #5594,3121 Marysville Blvd
AutoZone #5937,13102 San Pablo Ave
AutoZone #5603,3455 Watt Ave
AutoZone #5604,271 McCray St
AutoZone #3306,927  S. Clovis Ave
AutoZone #5311,1350 MacDonald Ave
AutoZone #5593,1900 Broadway
AutoZone #5699,1032 Oakdale Road
AutoZone #5700,"1474 E ""F"" St"
AutoZone #5599,2720 Florin Rd
Pick-N-Pull/Stockton,3927 Clark Drive
AutoZone #5513,17643 Vierra Canyon Rd
Mountain Mechanics,13265 Big Basin Way
AutoZone #5512,1011 E Alisal St
AutoZone #5596,3333 Fruitridge Rd
AutoZone #5711,1091 Sanguinetti Rd
AutoZone #5696,730 Admiral Callaghan Ln
AutoZone #5693,288 Sunset Ave
AutoZone #5597,5501 Folsom Blvd
AutoZone #5317,4031 N Marks Ave.
AutoZone #5685,8228 West Lane
AutoZone #5694,2480 Nut Tree Rd
AutoZone #5721,90 W Main St
AutoZone #2895,5820 Auburn Blvd.
AutoZone #5701,1272 Geer Rd
O’Reilly Auto Parts #3132,2020 Alamo Dr
Pep Boys #562,1401 Cherokee Ln
Firestone #598763 Winchester,2120 Winchester Boulevard
O’Reilly Auto Parts #3091,2451 N Sierra Highway
O’Reilly Auto Parts #3137,2150 Taraval Street
O’Reilly Auto Parts #3138,3541 Callan Boulevard
AutoZone #5229,3050 E 9th St
Stockton Sailing Club,4980 Buckley Cove Way
AutoZone #5682,1300 W Kettleman Ln
AutoZone #5508,"1635 ""R"" St"
AutoZone #3326,2309 W Hammer Ln
AutoZone #3336,10791 Folsom Blvd
AutoZone #5601,5305 Fruitridge Rd
AutoZone #5684,1339 S Sutter St
O’Reilly Auto Parts #3538,610 Williams Rd
German Auto Clinic,2040 N. Main St. Unit #11
O’Reilly Auto Parts #3179,6628 Laguna Blvd
O’Reilly Auto Parts #3184,2750 Florin Rd
SpeeDee Oil Change & Tune-Up,1675 Tuolumne St.
AutoZone #5720,1400 W Capitol Ave
O’Reilly Auto Parts #3218,1681 Research Park Drive
O’Reilly Auto Parts #3222,1200 W. Lathrop Road
O’Reilly Auto Parts #3219,3993 Foothills Blvd
AutoZone #3334,5267 Clayton Rd
O’Reilly Auto Parts #3450,9989 San Pablo Avenue
AutoZone #3324,1502 Freedom Blvd.
O’Reilly Auto Parts #3148,3071 West Clinton Ave.
Pep Boys #827,1087 Old County Rd
SpeeDee Oil Change and Tune Up,1825 E Capitol Expressway
AutoZone #3343,401 East Leland Rd.
AutoZone #5924,2690 Story Rd
O’Reilly Auto Parts #3457,3398 Coach Lane
AutoZone #3349,5747 Pacheco Blvd.
John's Bascom Automotive,1305 S. Bascom Ave.
Jiffy Lube #2497,4715 N West Lane
O’Reilly Auto Parts #3516,2542 Patterson Road Ste. A
O’Reilly Auto Parts #3488,1844 Springs Road
Rock & Roll Auto Recycling,3908 Old Santa Rita Rd.
AutoZone #3357,3533 Mac Arthur Blvd
O’Reilly Auto Parts #3522,16060 Monterey Rd. Ste 100
O’Reilly Auto Parts #3220,3426 Deer Valley Road
O’Reilly Auto Parts #3484,24247 Hesperian Blvd
O’Reilly Auto Parts #2949,"1500 Monument Boulevard, Ste. D"
"Razzari Dodge, Inc.",1605 Auto Center Drive
Firestone #591440 Travis AFB,"Building 170, Travis Avenue"
O’Reilly Auto Parts #2872,505 Contra Costa Boulevard
AutoZone #3335,147 S. Main St.
Jiffy Lube #2322,500 E. Kettleman Lane
AutoZone #5322,343 W. Shaw Ave.
Autozone #5309,2595 Main St.
Truck Lubrication Company,523 W. Larch Rd. Ste #A
Oil Express,1033 Arnold Drive
Oil Express,1935 Market Street
7 Flags Express Lube & Oil Change,2270 N. Texas St.
O’Reilly Auto Parts #3558,7933 Watt Ave.
